,id,Time,Sample,Value
1,RhoA,0,Cell_1,0.9943188
2,RhoA,0.1666667,Cell_1,0.9946348
3,RhoA,0.3333333,Cell_1,0.9993428
4,RhoA,0.5,Cell_1,0.9973301
5,RhoA,0.6666667,Cell_1,0.9998922
6,RhoA,0.8333333,Cell_1,1.002039
7,RhoA,1,Cell_1,1.007273
8,RhoA,1.166667,Cell_1,1.005431
9,RhoA,1.333333,Cell_1,1.008466
10,RhoA,1.5,Cell_1,1.00378
11,RhoA,1.666667,Cell_1,1.005783
12,RhoA,1.833333,Cell_1,1.007442
13,RhoA,2,Cell_1,1.140845
14,RhoA,2.166667,Cell_1,1.285688
15,RhoA,2.333333,Cell_1,1.340949
16,RhoA,2.5,Cell_1,1.351823
17,RhoA,2.666667,Cell_1,1.339838
18,RhoA,2.833333,Cell_1,1.331748
19,RhoA,3,Cell_1,1.32139
20,RhoA,3.166667,Cell_1,1.315586
21,RhoA,3.333333,Cell_1,1.303741
22,RhoA,3.5,Cell_1,1.291836
23,RhoA,3.666667,Cell_1,1.281653
24,RhoA,3.833333,Cell_1,1.255713
25,RhoA,4,Cell_1,1.228628
26,RhoA,4.166667,Cell_1,1.206277
27,RhoA,4.333334,Cell_1,1.167362
28,RhoA,4.5,Cell_1,1.140471
29,RhoA,4.666667,Cell_1,1.111737
30,RhoA,4.833334,Cell_1,1.097402
31,RhoA,5,Cell_1,1.092984
32,RhoA,5.166667,Cell_1,1.094416
33,RhoA,5.333334,Cell_1,1.082797
34,RhoA,5.5,Cell_1,1.082464
35,RhoA,5.666667,Cell_1,1.079274
36,RhoA,5.833334,Cell_1,1.082265
37,RhoA,6,Cell_1,1.080348
38,RhoA,6.166667,Cell_1,1.086836
39,RhoA,6.333334,Cell_1,1.086575
40,RhoA,6.5,Cell_1,1.083111
41,RhoA,6.666667,Cell_1,1.07484
42,RhoA,6.833334,Cell_1,1.059415
43,RhoA,7,Cell_1,1.081544
44,RhoA,7.166667,Cell_1,1.097229
45,RhoA,7.333334,Cell_1,1.114458
46,RhoA,7.5,Cell_1,1.121423
47,RhoA,7.666667,Cell_1,1.126924
48,RhoA,7.833334,Cell_1,1.137488
49,RhoA,8,Cell_1,1.142661
50,RhoA,8.166667,Cell_1,1.134256
51,RhoA,8.333333,Cell_1,1.131012
52,RhoA,8.5,Cell_1,1.134767
53,RhoA,8.666667,Cell_1,1.13178
54,RhoA,8.833333,Cell_1,1.131901
55,RhoA,9,Cell_1,1.129899
56,RhoA,9.166667,Cell_1,1.129165
57,RhoA,9.333333,Cell_1,1.131716
58,RhoA,9.5,Cell_1,1.133123
59,RhoA,9.666667,Cell_1,1.139592
60,RhoA,9.833333,Cell_1,1.146032
61,RhoA,10,Cell_1,1.149047
62,Rac1,0,Cell_1,1.001216
63,Rac1,0.1666667,Cell_1,0.9994997
64,Rac1,0.3333333,Cell_1,0.9908362
65,Rac1,0.5,Cell_1,0.9991967
66,Rac1,0.6666667,Cell_1,1.009345
67,Rac1,0.8333333,Cell_1,0.9941078
68,Rac1,1,Cell_1,0.9891551
69,Rac1,1.166667,Cell_1,0.995262
70,Rac1,1.333333,Cell_1,0.9891461
71,Rac1,1.5,Cell_1,1.007669
72,Rac1,1.666667,Cell_1,1.010524
73,Rac1,1.833333,Cell_1,1.001704
74,Rac1,2,Cell_1,1.000553
75,Rac1,2.166667,Cell_1,1.010695
76,Rac1,2.333333,Cell_1,1.004567
77,Rac1,2.5,Cell_1,1.005553
78,Rac1,2.666667,Cell_1,1.016143
79,Rac1,2.833333,Cell_1,1.026143
80,Rac1,3,Cell_1,1.020879
81,Rac1,3.166667,Cell_1,1.033333
82,Rac1,3.333333,Cell_1,1.019395
83,Rac1,3.5,Cell_1,1.038169
84,Rac1,3.666667,Cell_1,1.030589
85,Rac1,3.833333,Cell_1,1.024232
86,Rac1,4,Cell_1,1.038719
87,Rac1,4.166667,Cell_1,1.034389
88,Rac1,4.333334,Cell_1,1.032758
89,Rac1,4.5,Cell_1,1.034936
90,Rac1,4.666667,Cell_1,1.033465
91,Rac1,4.833334,Cell_1,1.027667
92,Rac1,5,Cell_1,1.03023
93,Rac1,5.166667,Cell_1,1.023767
94,Rac1,5.333334,Cell_1,1.027662
95,Rac1,5.5,Cell_1,1.016054
96,Rac1,5.666667,Cell_1,1.011227
97,Rac1,5.833334,Cell_1,1.036438
98,Rac1,6,Cell_1,1.026032
99,Rac1,6.166667,Cell_1,1.024583
100,Rac1,6.333334,Cell_1,1.02425
101,Rac1,6.5,Cell_1,1.038381
102,Rac1,6.666667,Cell_1,1.018562
103,Rac1,6.833334,Cell_1,1.046261
104,Rac1,7,Cell_1,1.026933
105,Rac1,7.166667,Cell_1,1.026282
106,Rac1,7.333334,Cell_1,1.021314
107,Rac1,7.5,Cell_1,1.044764
108,Rac1,7.666667,Cell_1,1.021985
109,Rac1,7.833334,Cell_1,1.031272
110,Rac1,8,Cell_1,1.025472
111,Rac1,8.166667,Cell_1,1.028696
112,Rac1,8.333333,Cell_1,1.037862
113,Rac1,8.5,Cell_1,1.029259
114,Rac1,8.666667,Cell_1,1.022152
115,Rac1,8.833333,Cell_1,1.030621
116,Rac1,9,Cell_1,1.03368
117,Rac1,9.166667,Cell_1,1.042859
118,Rac1,9.333333,Cell_1,1.032506
119,Rac1,9.5,Cell_1,1.030192
120,Rac1,9.666667,Cell_1,1.012682
121,Rac1,9.833333,Cell_1,1.032179
122,Rac1,10,Cell_1,1.029116
123,Cdc42,0,Cell_1,1.003517
124,Cdc42,0.1666667,Cell_1,0.9991689
125,Cdc42,0.3333333,Cell_1,1.001345
126,Cdc42,0.5,Cell_1,1.001579
127,Cdc42,0.6666667,Cell_1,0.9943522
128,Cdc42,0.8333333,Cell_1,1.004624
129,Cdc42,1,Cell_1,1.000443
130,Cdc42,1.166667,Cell_1,0.9968996
131,Cdc42,1.333333,Cell_1,1.010229
132,Cdc42,1.5,Cell_1,1.005364
133,Cdc42,1.666667,Cell_1,1.003382
134,Cdc42,1.833333,Cell_1,1.0102
135,Cdc42,2,Cell_1,1.010517
136,Cdc42,2.166667,Cell_1,1.071965
137,Cdc42,2.333333,Cell_1,1.131878
138,Cdc42,2.5,Cell_1,1.154203
139,Cdc42,2.666667,Cell_1,1.191653
140,Cdc42,2.833333,Cell_1,1.1963
141,Cdc42,3,Cell_1,1.214383
142,Cdc42,3.166667,Cell_1,1.236062
