Time,cell-1,cell-2,cell-3,cell-4,cell-5,cell-6,cell-7,cell-8,cell-9,cell-10,cell-11,cell-12
0,0.9935818,0.9965762,0.9907055,0.9938881,0.9942987,0.993361,0.9976612,0.9961659,0.9892102,0.9929645,0.9910962,0.985926
2,0.9972606,0.9979417,1.00146,1.004102,1.004207,0.9924765,0.9953743,0.9927425,0.9826044,1.006448,1.004355,1.008061
4,1.010935,1.007662,1.002369,1.001158,1.001488,1.006317,1.005133,1.003245,0.9985691,1.000934,0.9958825,0.9993525
6,0.9959134,1.001891,1.003493,1.001164,1.001113,1.008415,1.005629,1.004104,1.004594,0.9889891,0.9981266,0.9900663
8,0.9970548,0.9971041,0.9957852,1.001942,1.000751,0.997609,0.999718,0.9981139,1.000984,1.004525,1.002002,0.9979293
10,1.003856,1.001855,0.9897691,0.9976327,0.9987909,1.003873,1.001344,1.000341,1.005825,1.000582,1.000546,1.004209
12,0.9951291,0.9936391,1.007262,0.9940491,0.9937052,0.99149,0.9928554,1.001524,1.007696,0.9986577,0.9991376,1.0005
14,1.004095,1.005613,0.9901359,0.9987096,0.9976613,0.9966816,0.995058,0.9992989,1.004553,1.000308,1.00043,0.9996152
16,1.006717,1.00001,1.003434,0.9968854,1.002811,1.000608,0.9904838,0.9984674,1.005636,0.9998969,1.001015,1.000353
18,0.9848872,0.9914007,1.002396,0.9987984,1.000693,0.9969385,0.9832124,1.001118,1.013478,0.9973027,0.9943452,0.9958466
20,1.008174,1.008992,0.9948413,0.9994631,1.000123,1.004909,0.9928708,1.000342,1.00573,0.9983521,1.000162,1.00261
22,0.9904026,0.9878731,0.9817954,0.9880604,0.9908413,1.001975,0.9916,0.997544,1.003309,0.9904983,0.9970146,0.9949963
24,0.9901288,0.992722,0.9929974,0.9934278,0.9926035,1.004805,0.9895141,1.000355,1.009553,0.9944381,0.9970034,0.9928678
26,0.9985291,0.9992844,0.9930775,0.9913366,0.9943461,1.017945,1.002178,0.9991067,1.002945,0.9979792,1.000025,1.003834
28,0.9977976,1.002279,0.9968351,0.9827948,0.9860387,1.000882,0.9928708,0.9958675,0.9881277,0.9942924,1.003042,1.007456
30,0.9937107,1.002916,1.003374,0.9845817,0.992258,0.9978008,0.9860433,0.9921612,0.992852,0.9912078,1.001827,1.005137
32,1.002426,1.001679,1.000509,0.9902699,0.9927139,1.003389,0.9969848,1.000171,1.003909,0.9927669,0.995735,0.9996222
34,0.9990357,0.9966198,1.001452,0.9813325,0.9925956,1.005859,0.9894622,0.9976097,1.000704,0.9903143,0.9937953,0.9973842
36,1.005001,1.007026,0.9873161,0.9822187,0.9862194,1.018403,1.005693,0.9997494,0.991233,0.9872128,0.9984173,1.002541
38,0.9757972,0.9868194,0.9893566,0.9810679,0.9891836,1.005267,0.9935702,0.9989933,0.9945988,0.9855291,0.9961487,0.997251
40,0.99025,0.9891354,0.9933261,0.9887279,0.9863042,1.013645,1.00848,0.9948039,0.993134,0.9959385,1.001336,0.9999806
42,0.9914863,0.9972853,0.9921743,0.9794463,0.9872593,0.9943628,0.9892947,0.9900403,0.9787376,0.9838228,0.9987546,1.003147
44,0.9864967,0.9909698,0.9822891,0.9848179,0.9912714,1.006949,0.9920383,0.9917237,0.9835182,0.9877394,0.9978936,1.004841
46,0.9835734,0.9918954,0.7727538,0.9832006,0.9882032,0.9892494,0.9798753,0.9881461,0.9778919,0.9797366,0.997753,1.000682
48,0.9921454,1.004965,0.6569181,0.7090635,0.6939162,1.009421,1.025648,0.9305391,0.898518,0.9778897,0.983065,0.9809332
50,0.690575,0.7712867,0.6419768,0.7129364,0.6907997,0.6945156,0.7552003,0.8155536,0.678012,0.5901899,0.6648378,0.6554475
52,0.6927613,0.777539,0.6304104,0.7070919,0.6862905,0.6887361,0.7608882,0.8200119,0.6507565,0.5801987,0.6436274,0.6488855
54,0.6903122,0.7637621,0.6329958,0.7021374,0.6862492,0.6984159,0.7689157,0.8131161,0.6662749,0.5790694,0.6411879,0.6481088
56,0.6495826,0.7657181,0.6327962,0.6940571,0.675862,0.6778964,0.7364838,0.8177142,0.668248,0.5747268,0.6389547,0.6395813
58,0.6826769,0.7418116,0.6269465,0.692236,0.6702752,0.6791005,0.7375311,0.8126357,0.6581175,0.5716396,0.6363773,0.6381269
60,0.6730855,0.7439602,0.6266464,0.6936882,0.6758974,0.678843,0.741981,0.8157328,0.6640658,0.5743759,0.6377363,0.6387445
62,0.6832842,0.764734,0.6231157,0.6933723,0.6721024,0.6793856,0.7392377,0.8129422,0.6580093,0.5731295,0.6367301,0.6394422
64,0.680155,0.7585751,0.6230312,0.6940081,0.6746343,0.6764228,0.7414956,0.8074836,0.6549184,0.5695343,0.63583,0.6349275
66,0.6772369,0.758302,0.6254841,0.6951234,0.6750088,0.6850284,0.7480728,0.8121221,0.6569067,0.5689114,0.6345915,0.6366007
68,0.6767522,0.7595171,0.6221592,0.6922216,0.6711476,0.6771174,0.7404698,0.8129629,0.6592144,0.5651513,0.6340966,0.6348265
70,0.6745279,0.7566794,0.6236967,0.6931439,0.6724354,0.6889412,0.7457888,0.8110886,0.6580748,0.5680552,0.6342813,0.6342319
72,0.6711643,0.75479,0.6247718,0.6953734,0.6766504,0.6778271,0.7397825,0.8138985,0.6579692,0.5692883,0.6329445,0.640677
74,0.679616,0.7619421,0.6226387,0.6928951,0.6730373,0.6795793,0.7459568,0.8115784,0.6557109,0.5720665,0.6369497,0.6421387
76,0.6743037,0.7591677,0.6261858,0.6937922,0.6728938,0.6818348,0.7430435,0.8108442,0.6565951,0.5735822,0.6397236,0.6457923
78,0.6702362,0.7602997,0.625692,0.6935414,0.6698915,0.6783973,0.7411984,0.8096402,0.6559783,0.5717508,0.6366675,0.6415861
80,0.6660641,0.7532247,0.6239132,0.691806,0.6730536,0.6725668,0.7148045,0.8131601,0.6614913,0.5729809,0.6392633,0.6450362
82,0.6702495,0.765366,0.6273026,0.6908084,0.6739558,0.6756254,0.750943,0.8102702,0.6516503,0.5712599,0.6344798,0.6398446
84,0.6692957,0.7582719,0.6211504,0.6878459,0.6671087,0.6714169,0.7392563,0.8086443,0.6563777,0.5717604,0.6398402,0.6419332
86,0.6671401,0.7592971,0.6260246,0.6873162,0.6705547,0.6701264,0.7429212,0.8074839,0.6523716,0.5743398,0.6395645,0.6438596
88,0.6722153,0.7636634,0.6187277,0.6920167,0.6713664,0.6700939,0.7459111,0.8110103,0.6558033,0.5769457,0.6414179,0.6484141
90,0.6670756,0.760431,0.6186101,0.6897801,0.6684079,0.6745818,0.7444032,0.8117902,0.6589903,0.572391,0.6394932,0.6416141
92,0.6673751,0.7605526,0.6194225,0.6921455,0.6694571,0.6725594,0.7446364,0.8100665,0.6577442,0.5717383,0.6367164,0.6401131
94,0.6736002,0.7638866,0.6230611,0.69156,0.6720146,0.6748692,0.7423277,0.8076423,0.6531781,0.5755753,0.6398295,0.6461521
