Time,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14
0,0.9924669,0.9963601,0.9790024,1.005507,1.005645,0.9989587,0.9942451,1.024172,1.009988,1.005312,1.006205,1.004722,1.00751,1.007192
0.1666667,1.005769,1.012239,1.010933,0.9830339,0.9836383,1.006515,1.009264,0.9892036,1.000398,0.9993061,1.005892,1.028897,1.005479,1.035598
0.3333333,1.004898,1.007423,1.006713,1.002999,0.9962698,0.98631,0.9858983,0.9773994,0.9814378,1.007928,1.006749,1.009755,1.007475,1.005761
0.5,1.006388,0.996642,0.9997664,1.010201,1.010869,0.9991936,1.003262,1.003183,1.000174,0.9917312,0.99201,0.9802614,0.9847282,0.9686828
0.6666667,0.9905214,0.9873679,1.003567,0.9983627,1.003708,1.009032,1.007339,1.006513,1.00818,0.9958365,0.9892079,0.9767771,0.9948245,0.9829642
0.8333333,1.009343,1.017769,1.019756,0.9996939,1.009366,0.9954251,0.9930242,0.9586997,0.9665951,0.9932928,0.9999055,1.030304,1.010472,1.032889
1,0.9834772,0.9727737,0.9843263,0.9989167,0.9966222,0.996179,0.9912511,0.9900604,0.9992728,1.014916,1.026991,1.033943,1.017842,1.056972
1.166667,1.002169,0.9839113,0.9963545,0.9980778,1.004947,1.011395,1.013681,0.9609124,0.9632028,1.007156,1.032652,1.04439,1.016552,1.038658
1.333333,1.005448,1.00314,1.012995,1.023258,1.031981,1.013143,1.012072,0.9803937,0.9931433,0.9962202,1.008106,1.055826,1.034142,1.086001
1.5,1.012042,1.01001,1.008134,1.003745,1.011575,1.010693,1.011749,0.9526102,0.9710223,1.003957,1.011365,1.010602,1.00613,1.015354
1.666667,0.9986554,0.9837073,0.9673143,1.004862,1.015362,0.9930561,0.9936513,0.9359065,0.9588004,0.9851413,0.997869,0.9995422,0.9970282,1.001074
1.833333,1.003113,1.016773,1.014546,1.01064,1.014531,1.018052,1.012542,1.004971,1.005222,0.989296,1.008964,1.007643,1.00819,1.025745
2,1.019889,0.9849207,0.9999137,1.013737,1.022567,1.023726,1.032092,0.9921416,0.9999832,0.9775989,0.9734073,1.018351,1.019011,1.03152
2.166667,1.025836,1.019521,1.022475,1.031521,1.042244,1.044083,1.055481,0.9622287,0.9694749,1.035727,1.041045,1.023766,1.024623,1.037275
2.333333,1.025314,1.017661,0.9812685,1.017028,1.036583,1.031401,1.046812,0.9854417,0.9948614,1.018236,1.025817,1.017775,1.016853,1.032668
2.5,1.021949,1.032979,1.025803,1.029215,1.030393,1.038211,1.044702,0.9706867,0.986732,0.9997719,1.016126,1.001057,1.006556,0.9912328
2.666667,1.053277,1.052429,1.039245,1.036769,1.062442,1.032661,1.045382,0.9498923,0.9758869,0.9895549,1.011097,1.047642,1.045504,1.049506
2.833333,1.049416,1.048584,1.035084,1.043328,1.077818,1.04447,1.061155,1.000383,1.009187,0.9965478,1.033249,1.045268,1.031316,1.063392
3,1.026509,1.014325,0.9977319,1.045771,1.086145,1.026755,1.038909,0.9976966,1.008755,1.022964,1.059626,1.033872,1.018767,1.044344
3.166667,1.024973,1.014303,1.004103,1.056041,1.085051,1.039286,1.050103,1.030665,1.037771,1.000295,1.036685,1.02542,1.014813,1.03152
3.333333,1.017488,1.011745,0.9982573,1.050206,1.084663,1.040431,1.062793,1.010936,1.028252,0.9969407,1.030121,1.054933,1.046066,1.07101
3.5,1.006822,0.9951622,0.9971892,1.047463,1.073973,1.028428,1.051006,1.021886,1.029956,0.9959375,1.03393,1.011038,1.010262,1.018832
3.666667,1.013926,1.00741,1.007978,1.020502,1.054692,1.029933,1.049458,0.9841736,1.000888,1.000631,1.031148,1.044544,1.041655,1.075772
3.833333,1.022996,1.034171,1.035139,1.0575,1.093331,1.028948,1.049078,1.022188,1.017562,1.00822,1.042419,1.029216,1.022476,1.047956
4,1.01096,1.003061,1.017619,1.04483,1.077237,1.036931,1.053906,0.9801524,0.994839,1.018898,1.047022,1.012022,1.015318,1.029457
4.166667,1.009386,1.016214,1.006082,1.05381,1.094298,1.04331,1.062481,0.9899181,0.9975154,0.9997295,1.032968,1.040699,1.034941,1.07396
4.333334,1.006751,1.009824,0.9999042,1.046606,1.075675,1.025305,1.049886,0.9826603,0.9885212,1.010615,1.044698,1.010876,1.013159,1.013323
4.5,1.012512,1.012622,1.006084,1.046932,1.079184,1.018905,1.043476,1.047617,1.050152,0.9980432,1.026275,1.054442,1.034112,1.082237
4.666667,1.010752,1.002226,0.9984631,1.042937,1.067104,1.017155,1.051069,0.9727069,0.9829586,1.018144,1.046107,1.008282,1.026192,1.043711
4.833334,1.018857,1.019956,1.023014,1.041529,1.071029,1.020173,1.052265,1.000877,1.016916,1.018616,1.036022,1.008495,1.020873,1.028853
5,1.026566,1.033519,1.02501,1.033199,1.058129,1.015463,1.042213,0.9928767,0.9964379,1.020532,1.046247,0.9725643,1.011135,1.01644
5.166667,0.9995105,1.009323,0.9917303,1.03713,1.056222,1.022625,1.053574,0.984084,0.9999517,1.007127,1.032605,0.9859995,1.00945,1.015656
5.333334,1.027768,1.043761,1.040256,1.022352,1.048931,1.011503,1.03261,1.00597,1.003484,1.019589,1.037888,1.03437,1.041574,1.102753
5.5,0.9911141,1.00176,0.9667001,1.044362,1.059965,1.02215,1.046258,0.967302,0.9850401,1.001132,1.02748,1.007822,1.030703,1.05998
5.666667,1.006891,1.008245,1.007685,1.044554,1.069411,1.022082,1.050229,0.9925606,1.012788,1.010345,1.030281,1.018419,1.035801,1.085204
5.833334,1.012877,1.026735,0.993165,1.030648,1.059094,1.019941,1.031133,0.9637129,0.9739149,1.021522,1.029893,1.000176,1.022381,1.042053
6,0.9977633,0.9908772,0.9797062,1.044588,1.064224,1.02692,1.040713,0.9890592,0.9959334,0.9993802,1.016367,1.025892,1.039279,1.073722
6.166667,1.008193,1.023881,1.02069,1.03036,1.04987,1.036006,1.059676,0.9698293,0.9846221,1.030849,1.049542,1.010445,1.026517,1.05084
6.333334,1.023805,1.023478,1.025733,1.038888,1.065047,1.025185,1.055166,1.030185,1.03191,1.012467,1.034474,1.031786,1.040142,1.100055
6.5,1.022582,1.037594,1.02859,1.035746,1.058467,1.042266,1.065858,0.9996346,0.9974451,1.016563,1.026665,1.033255,1.036909,1.079317
6.666667,1.006565,0.9927132,1.005921,1.032693,1.057284,1.033576,1.066442,1.000706,1.00938,1.036077,1.047552,1.021443,1.031205,1.060131
6.833334,1.015792,1.013576,1.016355,1.038917,1.060175,1.050236,1.071897,0.999541,0.9963248,1.023526,1.043977,1.016607,1.026498,1.069398
