Time,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14
0,0.9969394,0.9959251,0.9954667,1.003544,0.9936471,0.9994143,0.9983268,1.008673,1.003993,0.9976071,1.001635,0.9992003,1.003244,1.000989
0.1666667,0.9949682,0.9939954,1.000803,0.9954842,0.9959074,1.001899,1.001378,1.011554,1.013207,0.9960842,0.9903794,0.9934084,1.006898,1.013028
0.3333333,1.001913,1.001803,0.9993787,0.9783717,0.9983085,1.011449,1.012724,0.998272,0.9987637,0.9931474,0.9962917,0.9923707,0.9956688,0.9962296
0.5,1.004253,1.002384,0.9993362,1.009807,0.9995451,0.9911782,0.9834344,0.9906341,0.9920111,1.009206,1.012429,1.010408,1.001926,0.9979063
0.6666667,1.001973,1.005983,1.005055,1.014195,1.012908,0.9961108,1.004257,0.9911124,0.9921855,1.004041,0.9993777,1.00472,0.9922459,0.9918309
0.8333333,1.00524,1.006645,1.009303,1.012505,1.009422,1.000609,0.992214,0.9835008,0.9880432,1.006771,1.009837,1.008824,0.9830065,0.973387
1,1.001527,1.003872,1.013687,1.019454,1.017513,0.9932806,0.9850714,1.009867,1.009285,1.012015,1.002279,1.006647,1.014914,1.013867
1.166667,1.012509,1.014657,0.9984508,1.00481,0.9968734,0.9982941,0.9874123,0.9773156,0.9697623,1.014087,1.01596,1.014591,0.9990968,0.9935331
1.333333,1.007028,1.009854,1.017761,1.026184,1.025654,0.9891431,0.9754312,1.020684,1.016818,1.026439,1.017043,1.019669,0.9923478,1.002136
1.5,1.003372,1.008119,0.9991974,1.009815,1.001089,0.9983714,0.9862766,1.010593,1.006894,1.012594,1.011872,1.015014,1.021717,1.031343
1.666667,1.00024,1.004817,1.007576,1.017393,1.009776,0.9936561,0.9837215,1.00102,1.002886,1.020148,1.017756,1.025616,0.9956377,1.004399
1.833333,1.008659,1.013075,1.006166,1.010456,1.008872,0.9985395,0.9914722,0.988429,0.9883812,1.003271,0.9979797,0.9906648,1.005982,1.01392
2,1.073781,1.042653,1.017209,1.030423,1.018657,1.0644,1.072993,0.9945685,0.997477,1.048819,1.056643,1.028693,1.004691,1.027581
2.166667,1.202065,1.132455,1.051462,1.079273,1.061216,1.188484,1.217761,1.042601,1.041268,1.127144,1.153551,1.083118,1.016766,1.060113
2.333333,1.277984,1.160276,1.06987,1.100893,1.088405,1.225523,1.299491,1.075949,1.071779,1.155852,1.204885,1.11367,1.030563,1.095678
2.5,1.300407,1.163595,1.074736,1.111476,1.104609,1.247948,1.312886,1.043219,1.041656,1.184428,1.24389,1.143713,1.02489,1.095505
2.666667,1.298285,1.159398,1.074832,1.117727,1.117124,1.231827,1.311061,1.083332,1.081012,1.146651,1.199703,1.105245,1.050298,1.125849
2.833333,1.281956,1.150345,1.070078,1.118319,1.106467,1.204293,1.287051,1.076201,1.066956,1.144468,1.198412,1.108402,1.054421,1.138516
3,1.274127,1.154641,1.059749,1.108209,1.092535,1.197102,1.280881,1.08256,1.075839,1.159283,1.211451,1.125679,1.052256,1.14029
3.166667,1.269239,1.142121,1.057668,1.105396,1.08479,1.196341,1.277592,1.074676,1.064845,1.166313,1.219166,1.135015,1.047588,1.145586
3.333333,1.258646,1.14275,1.071683,1.117162,1.098245,1.182401,1.252538,1.063977,1.055637,1.159558,1.201863,1.115409,1.054814,1.150429
3.5,1.231391,1.116242,1.064439,1.112222,1.094085,1.183715,1.259853,1.04955,1.050151,1.160291,1.218353,1.116132,1.056216,1.154595
3.666667,1.22346,1.113907,1.064217,1.11322,1.092958,1.173286,1.23617,1.062558,1.058415,1.1328,1.184116,1.085034,1.052506,1.156953
3.833333,1.228435,1.115709,1.06557,1.105855,1.082458,1.184977,1.250348,1.025724,1.021146,1.178163,1.227535,1.1374,1.055678,1.156813
4,1.211363,1.114385,1.060123,1.101827,1.083999,1.168484,1.21897,1.040752,1.034521,1.13735,1.179384,1.089419,1.071218,1.177668
4.166667,1.20664,1.111854,1.041061,1.082021,1.055149,1.175681,1.224659,1.047303,1.047402,1.057037,1.097763,0.9971444,1.046359,1.139655
4.333334,1.18122,1.088879,1.055068,1.096071,1.075662,1.164248,1.21577,1.00543,1.002863,1.119212,1.170129,1.078104,1.053138,1.149724
4.5,1.1798,1.088013,1.056649,1.092706,1.079787,1.170555,1.224891,1.022423,1.015893,1.107966,1.14663,1.058775,1.039003,1.124793
4.666667,1.184052,1.094492,1.056309,1.093843,1.086934,1.161924,1.216438,1.006494,0.9989636,1.089738,1.130654,1.046865,1.041419,1.130772
4.833334,1.184084,1.098882,1.054325,1.095355,1.082468,1.144295,1.192905,0.9954079,0.9933996,1.126749,1.167374,1.089077,1.055816,1.143971
5,1.159887,1.080148,1.04756,1.084987,1.073711,1.142063,1.200134,1.017738,1.039103,1.100036,1.130268,1.061021,1.061889,1.146587
5.166667,1.173693,1.091056,1.044549,1.08027,1.071991,1.137244,1.18876,1.068746,1.064956,1.087971,1.123998,1.056113,1.033191,1.117962
5.333334,1.163006,1.07963,1.044727,1.07412,1.063262,1.142909,1.195576,1.040853,1.034033,1.075558,1.103746,1.036622,1.032169,1.105684
5.5,1.164933,1.081036,1.046256,1.077899,1.070717,1.138495,1.193572,1.011768,1.00964,1.080729,1.110227,1.040554,1.029622,1.11697
5.666667,1.162019,1.079069,1.053131,1.083341,1.073174,1.126416,1.171898,1.017839,1.005253,1.076464,1.100636,1.040575,1.031396,1.12004
5.833334,1.163798,1.082535,1.047926,1.071827,1.06237,1.135864,1.182992,1.039326,1.03972,1.07535,1.102939,1.027783,1.019297,1.096026
6,1.15336,1.0768,1.033945,1.075669,1.058778,1.134106,1.184919,0.9813426,0.9911054,1.076628,1.103919,1.039182,1.018164,1.101664
6.166667,1.138226,1.061949,1.0415,1.06405,1.048615,1.131857,1.174148,1.011531,1.018067,1.079098,1.101112,1.037272,1.025905,1.100039
6.333334,1.155257,1.077057,1.050647,1.066919,1.066106,1.129073,1.175003,1.034483,1.028022,1.078238,1.095249,1.03842,1.042261,1.116119
6.5,1.141797,1.066735,1.048369,1.075386,1.064392,1.108337,1.143826,1.01446,1.004824,1.067435,1.091582,1.030824,1.041339,1.119274
