"Time","unique_id","id","Sample","Value"
0,"1_cell.1","1","cell.1",0.951977072796528
2,"1_cell.1","1","cell.1",0.962157716400943
4,"1_cell.1","1","cell.1",1
6,"1_cell.1","1","cell.1",0.95842949984558
8,"1_cell.1","1","cell.1",0.96158818925791
10,"1_cell.1","1","cell.1",0.980409705318133
12,"1_cell.1","1","cell.1",0.956259042419533
14,"1_cell.1","1","cell.1",0.981071109531859
16,"1_cell.1","1","cell.1",0.988327184211313
18,"1_cell.1","1","cell.1",0.927915796325139
20,"1_cell.1","1","cell.1",0.992359259271559
22,"1_cell.1","1","cell.1",0.943179013063149
24,"1_cell.1","1","cell.1",0.942421303968094
26,"1_cell.1","1","cell.1",0.965668140020656
28,"1_cell.1","1","cell.1",0.963643800345591
30,"1_cell.1","1","cell.1",0.952333788290876
32,"1_cell.1","1","cell.1",0.976452349562367
34,"1_cell.1","1","cell.1",0.967070095563223
36,"1_cell.1","1","cell.1",0.983578357304393
38,"1_cell.1","1","cell.1",0.902760297150372
40,"1_cell.1","1","cell.1",0.942756710623757
42,"1_cell.1","1","cell.1",0.946178024554424
44,"1_cell.1","1","cell.1",0.932369897086612
46,"1_cell.1","1","cell.1",0.924280010316799
48,"1_cell.1","1","cell.1",0.948002005798218
50,"1_cell.1","1","cell.1",0.113441615442433
52,"1_cell.1","1","cell.1",0.119491941938119
54,"1_cell.1","1","cell.1",0.112714347545499
56,"1_cell.1","1","cell.1",0
58,"1_cell.1","1","cell.1",0.0915845584531887
60,"1_cell.1","1","cell.1",0.065041494120421
62,"1_cell.1","1","cell.1",0.093265189327648
64,"1_cell.1","1","cell.1",0.084605498676638
66,"1_cell.1","1","cell.1",0.0765300022913921
68,"1_cell.1","1","cell.1",0.0751886524069026
70,"1_cell.1","1","cell.1",0.0690331654086148
72,"1_cell.1","1","cell.1",0.0597248004994572
74,"1_cell.1","1","cell.1",0.0831138799686954
76,"1_cell.1","1","cell.1",0.0684127184432702
78,"1_cell.1","1","cell.1",0.0571563935925151
80,"1_cell.1","1","cell.1",0.0456106006214433
82,"1_cell.1","1","cell.1",0.0571931997684256
84,"1_cell.1","1","cell.1",0.0545536711531459
86,"1_cell.1","1","cell.1",0.0485883032740339
88,"1_cell.1","1","cell.1",0.0626333186108629
