"unique_id","id","Time","Sample","Value"
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",0,"Cell_1",0.9969394
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",0.1666667,"Cell_1",0.9949682
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",0.3333333,"Cell_1",1.001913
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",0.5,"Cell_1",1.004253
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",0.6666667,"Cell_1",1.001973
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",0.8333333,"Cell_1",1.00524
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",1,"Cell_1",1.001527
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",1.166667,"Cell_1",1.012509
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",1.333333,"Cell_1",1.007028
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",1.5,"Cell_1",1.003372
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",1.666667,"Cell_1",1.00024
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",1.833333,"Cell_1",1.008659
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",2,"Cell_1",1.073781
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",2.166667,"Cell_1",1.202065
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",2.333333,"Cell_1",1.277984
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",2.5,"Cell_1",1.300407
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",2.666667,"Cell_1",1.298285
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",2.833333,"Cell_1",1.281956
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",3,"Cell_1",1.274127
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",3.166667,"Cell_1",1.269239
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",3.333333,"Cell_1",1.258646
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",3.5,"Cell_1",1.231391
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",3.666667,"Cell_1",1.22346
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",3.833333,"Cell_1",1.228435
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",4,"Cell_1",1.211363
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",4.166667,"Cell_1",1.20664
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",4.333334,"Cell_1",1.18122
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",4.5,"Cell_1",1.1798
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",4.666667,"Cell_1",1.184052
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",4.833334,"Cell_1",1.184084
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",5,"Cell_1",1.159887
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",5.166667,"Cell_1",1.173693
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",5.333334,"Cell_1",1.163006
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",5.5,"Cell_1",1.164933
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",5.666667,"Cell_1",1.162019
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",5.833334,"Cell_1",1.163798
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",6,"Cell_1",1.15336
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",6.166667,"Cell_1",1.138226
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",6.333334,"Cell_1",1.155257
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",6.5,"Cell_1",1.141797
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",6.666667,"Cell_1",1.151735
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",6.833334,"Cell_1",1.134568
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",7,"Cell_1",1.143073
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",7.166667,"Cell_1",1.134686
