Time,Cell,Response,Condition
0,cell_1,0.9935818,Condition_1
2,cell_1,0.9972606,Condition_1
4,cell_1,1.010935,Condition_1
6,cell_1,0.9959134,Condition_1
8,cell_1,0.9970548,Condition_1
10,cell_1,1.003856,Condition_1
12,cell_1,0.9951291,Condition_1
14,cell_1,1.004095,Condition_1
16,cell_1,1.006717,Condition_1
18,cell_1,0.9848872,Condition_1
20,cell_1,1.008174,Condition_1
22,cell_1,0.9904026,Condition_1
24,cell_1,0.9901288,Condition_1
26,cell_1,0.9985291,Condition_1
28,cell_1,0.9977976,Condition_1
30,cell_1,0.9937107,Condition_1
32,cell_1,1.002426,Condition_1
34,cell_1,0.9990357,Condition_1
36,cell_1,1.005001,Condition_1
38,cell_1,0.9757972,Condition_1
40,cell_1,0.99025,Condition_1
42,cell_1,0.9914863,Condition_1
44,cell_1,0.9864967,Condition_1
46,cell_1,0.9835734,Condition_1
0,cell_2,0.9965762,Condition_1
2,cell_2,0.9979417,Condition_1
4,cell_2,1.007662,Condition_1
6,cell_2,1.001891,Condition_1
8,cell_2,0.9971041,Condition_1
10,cell_2,1.001855,Condition_1
12,cell_2,0.9936391,Condition_1
14,cell_2,1.005613,Condition_1
16,cell_2,1.00001,Condition_1
18,cell_2,0.9914007,Condition_1
20,cell_2,1.008992,Condition_1
22,cell_2,0.9878731,Condition_1
24,cell_2,0.992722,Condition_1
26,cell_2,0.9992844,Condition_1
28,cell_2,1.002279,Condition_1
30,cell_2,1.002916,Condition_1
32,cell_2,1.001679,Condition_1
34,cell_2,0.9966198,Condition_1
36,cell_2,1.007026,Condition_1
38,cell_2,0.9868194,Condition_1
40,cell_2,0.9891354,Condition_1
42,cell_2,0.9972853,Condition_1
44,cell_2,0.9909698,Condition_1
46,cell_2,0.9918954,Condition_1
0,cell_3,0.9907055,Condition_1
2,cell_3,1.00146,Condition_1
4,cell_3,1.002369,Condition_1
6,cell_3,1.003493,Condition_1
8,cell_3,0.9957852,Condition_1
10,cell_3,0.9897691,Condition_1
12,cell_3,1.007262,Condition_1
14,cell_3,0.9901359,Condition_1
16,cell_3,1.003434,Condition_1
18,cell_3,1.002396,Condition_1
20,cell_3,0.9948413,Condition_1
22,cell_3,0.9817954,Condition_1
24,cell_3,0.9929974,Condition_1
26,cell_3,0.9930775,Condition_1
28,cell_3,0.9968351,Condition_1
30,cell_3,1.003374,Condition_1
32,cell_3,1.000509,Condition_1
34,cell_3,1.001452,Condition_1
36,cell_3,0.9873161,Condition_1
38,cell_3,0.9893566,Condition_1
40,cell_3,0.9933261,Condition_1
42,cell_3,0.9921743,Condition_1
44,cell_3,0.9822891,Condition_1
46,cell_3,0.7727538,Condition_1
0,cell_4,0.9938881,Condition_1
2,cell_4,1.004102,Condition_1
4,cell_4,1.001158,Condition_1
6,cell_4,1.001164,Condition_1
8,cell_4,1.001942,Condition_1
10,cell_4,0.9976327,Condition_1
12,cell_4,0.9940491,Condition_1
14,cell_4,0.9987096,Condition_1
16,cell_4,0.9968854,Condition_1
18,cell_4,0.9987984,Condition_1
20,cell_4,0.9994631,Condition_1
22,cell_4,0.9880604,Condition_1
24,cell_4,0.9934278,Condition_1
26,cell_4,0.9913366,Condition_1
28,cell_4,0.9827948,Condition_1
30,cell_4,0.9845817,Condition_1
32,cell_4,0.9902699,Condition_1
34,cell_4,0.9813325,Condition_1
36,cell_4,0.9822187,Condition_1
38,cell_4,0.9810679,Condition_1
