"","X","id","Time","Sample","Value"
"1",1,1,0,"Cell_1",0.9943188
"2",2,1,0.1666667,"Cell_1",0.9946348
"3",3,1,0.3333333,"Cell_1",0.9993428
"4",4,1,0.5,"Cell_1",0.9973301
"5",5,1,0.6666667,"Cell_1",0.9998922
"6",6,1,0.8333333,"Cell_1",1.002039
"7",7,1,1,"Cell_1",1.007273
"8",8,1,1.166667,"Cell_1",1.005431
"9",9,1,1.333333,"Cell_1",1.008466
"10",10,1,1.5,"Cell_1",1.00378
"11",11,1,1.666667,"Cell_1",1.005783
"12",12,1,1.833333,"Cell_1",1.007442
"13",13,1,2,"Cell_1",1.140845
"14",14,1,2.166667,"Cell_1",1.285688
"15",15,1,2.333333,"Cell_1",1.340949
"16",16,1,2.5,"Cell_1",1.351823
"17",17,1,2.666667,"Cell_1",1.339838
"18",18,1,2.833333,"Cell_1",1.331748
"19",19,1,3,"Cell_1",1.32139
"20",20,1,3.166667,"Cell_1",1.315586
"21",21,1,3.333333,"Cell_1",1.303741
"22",22,1,3.5,"Cell_1",1.291836
"23",23,1,3.666667,"Cell_1",1.281653
"24",24,1,3.833333,"Cell_1",1.255713
"25",25,1,4,"Cell_1",1.228628
"26",26,1,4.166667,"Cell_1",1.206277
"27",27,1,4.333334,"Cell_1",1.167362
"28",28,1,4.5,"Cell_1",1.140471
"29",29,1,4.666667,"Cell_1",1.111737
"30",30,1,4.833334,"Cell_1",1.097402
"31",31,1,5,"Cell_1",1.092984
"32",32,1,5.166667,"Cell_1",1.094416
"33",33,1,5.333334,"Cell_1",1.082797
"34",34,1,5.5,"Cell_1",1.082464
"35",35,1,5.666667,"Cell_1",1.079274
"36",36,1,5.833334,"Cell_1",1.082265
"37",37,1,6,"Cell_1",1.080348
"38",38,1,6.166667,"Cell_1",1.086836
"39",39,1,6.333334,"Cell_1",1.086575
"40",40,1,6.5,"Cell_1",1.083111
"41",41,1,6.666667,"Cell_1",1.07484
"42",42,1,6.833334,"Cell_1",1.059415
"43",43,1,7,"Cell_1",1.081544
"44",44,1,7.166667,"Cell_1",1.097229
"45",45,1,7.333334,"Cell_1",1.114458
"46",46,1,7.5,"Cell_1",1.121423
"47",47,1,7.666667,"Cell_1",1.126924
"48",48,1,7.833334,"Cell_1",1.137488
"49",49,1,8,"Cell_1",1.142661
"50",50,1,8.166667,"Cell_1",1.134256
"51",51,1,8.333333,"Cell_1",1.131012
"52",52,1,8.5,"Cell_1",1.134767
"53",53,1,8.666667,"Cell_1",1.13178
"54",54,1,8.833333,"Cell_1",1.131901
"55",55,1,9,"Cell_1",1.129899
"56",56,1,9.166667,"Cell_1",1.129165
"57",57,1,9.333333,"Cell_1",1.131716
"58",58,1,9.5,"Cell_1",1.133123
"59",59,1,9.666667,"Cell_1",1.139592
"60",60,1,9.833333,"Cell_1",1.146032
"61",61,1,10,"Cell_1",1.149047
"62",62,2,0,"Cell_1",1.001216
"63",63,2,0.1666667,"Cell_1",0.9994997
"64",64,2,0.3333333,"Cell_1",0.9908362
"65",65,2,0.5,"Cell_1",0.9991967
"66",66,2,0.6666667,"Cell_1",1.009345
"67",67,2,0.8333333,"Cell_1",0.9941078
"68",68,2,1,"Cell_1",0.9891551
"69",69,2,1.166667,"Cell_1",0.995262
"70",70,2,1.333333,"Cell_1",0.9891461
"71",71,2,1.5,"Cell_1",1.007669
"72",72,2,1.666667,"Cell_1",1.010524
"73",73,2,1.833333,"Cell_1",1.001704
"74",74,2,2,"Cell_1",1.000553
"75",75,2,2.166667,"Cell_1",1.010695
"76",76,2,2.333333,"Cell_1",1.004567
"77",77,2,2.5,"Cell_1",1.005553
"78",78,2,2.666667,"Cell_1",1.016143
"79",79,2,2.833333,"Cell_1",1.026143
"80",80,2,3,"Cell_1",1.020879
"81",81,2,3.166667,"Cell_1",1.033333
"82",82,2,3.333333,"Cell_1",1.019395
"83",83,2,3.5,"Cell_1",1.038169
"84",84,2,3.666667,"Cell_1",1.030589
"85",85,2,3.833333,"Cell_1",1.024232
"86",86,2,4,"Cell_1",1.038719
"87",87,2,4.166667,"Cell_1",1.034389
"88",88,2,4.333334,"Cell_1",1.032758
"89",89,2,4.5,"Cell_1",1.034936
"90",90,2,4.666667,"Cell_1",1.033465
"91",91,2,4.833334,"Cell_1",1.027667
"92",92,2,5,"Cell_1",1.03023
"93",93,2,5.166667,"Cell_1",1.023767
"94",94,2,5.333334,"Cell_1",1.027662
"95",95,2,5.5,"Cell_1",1.016054
"96",96,2,5.666667,"Cell_1",1.011227
"97",97,2,5.833334,"Cell_1",1.036438
"98",98,2,6,"Cell_1",1.026032
"99",99,2,6.166667,"Cell_1",1.024583
