Wavelength (nm),Abs mTurquoise2,Em mTurquoise2,Abs SYFP2,Em SYFP2
250,0.50545,,,
251,0.49673,,,
252,0.49673,,,
253,0.49673,,,
254,0.4902,,,
255,0.48584,,,
256,0.4902,,,
257,0.50545,,,
258,0.53377,,,
259,0.55338,,,
260,0.56427,,0.4193548,
261,0.57734,,0.4193548,
262,0.59041,,0.4258065,
263,0.60566,,0.4322581,
264,0.63834,,0.4387097,
265,0.66231,,0.4451613,
266,0.6732,,0.4516129,
267,0.69281,,0.4580645,
268,0.72331,,0.4645161,
269,0.74946,,0.4709677,
270,0.77342,,0.4774194,
271,0.80174,,0.4903226,
272,0.83224,,0.4967742,
273,0.86275,,0.5032258,
274,0.89325,,0.5096774,
275,0.91939,,0.5225806,
276,0.94553,,0.5225806,
277,0.96078,,0.5290322,
278,0.96732,,0.5290322,
279,0.96514,,0.5290322,
280,0.96296,,0.5290322,
281,0.96078,,0.5225806,
282,0.94771,,0.5096774,
283,0.9281,,0.5032258,
284,0.90196,,0.483871,
285,0.86492,,0.4709677,
286,0.82135,,0.4516129,
287,0.76253,,0.4258065,
288,0.69281,,0.3935484,
289,0.61656,,0.3612903,
290,0.54466,,0.3290323,
291,0.49237,,0.3096774,
292,0.45752,,0.2967742,
293,0.42484,,0.2709678,
294,0.39434,,0.2516129,
295,0.36383,,0.2387097,
296,0.33551,,0.2193548,
297,0.31373,,0.2064516,
298,0.29194,,0.1935484,
299,0.27233,,0.1870968,
300,0.24837,,0.1806452,
301,0.22658,,0.1677419,
302,0.20479,,0.1612903,
303,0.18519,,0.1612903,
304,0.1634,,0.1483871,
305,0.14815,,0.1483871,
306,0.1329,,0.1354839,
307,0.12418,,0.1354839,
308,0.11329,,0.1290323,
309,0.10675,,0.1290323,
310,0.098039,,0.1225807,
311,0.093682,,0.1225807,
312,0.087146,,0.1225807,
313,0.082789,,0.116129,
314,0.08061,,0.116129,
315,0.076253,,0.116129,
316,0.074074,,0.1096774,
317,0.074074,,0.1096774,
318,0.069717,,0.1096774,
319,0.065359,,0.1096774,
320,0.065359,,0.1032258,
321,0.063181,,0.1032258,
322,0.058824,,0.1032258,
323,0.061002,,0.1032258,
324,0.058824,,0.09677419,
325,0.058824,,0.09677419,
326,0.056645,,0.09677419,
327,0.054466,,0.09677419,
328,0.054466,,0.09677419,
329,0.054466,,0.09032258,
330,0.052288,,0.09032258,
331,0.052288,,0.09032258,
332,0.052288,,0.09032258,
333,0.050109,,0.09032258,
334,0.050109,,0.09032258,
335,0.050109,,0.09032258,
336,0.050109,,0.08387097,
337,0.052288,,0.08387097,
338,0.050109,,0.08387097,
339,0.04793,,0.09032258,
340,0.04793,,0.08387097,
341,0.050109,,0.08387097,
342,0.04793,,0.08387097,
343,0.050109,,0.08387097,
344,0.04793,,0.08387097,
345,0.04793,,0.07741936,
346,0.052288,,0.07741936,
347,0.050109,,0.07741936,
348,0.052288,,0.07741936,
349,0.052288,,0.07096774,
350,0.054466,,0.07096774,
351,0.056645,,0.07096774,
352,0.054466,,0.07741936,
353,0.054466,,0.07096774,
354,0.056645,,0.07096774,
355,0.058824,,0.07096774,
356,0.058824,,0.07096774,
357,0.063181,,0.07096774,
358,0.063181,,0.06451613,
359,0.063181,,0.06451613,
360,0.063181,,0.06451613,
361,0.065359,,0.05806452,
362,0.067538,,0.06451613,
363,0.069717,,0.06451613,
364,0.071895,,0.05806452,
365,0.074074,,0.05806452,
366,0.076253,,0.05806452,
367,0.08061,,0.05806452,
368,0.082789,,0.05806452,
369,0.087146,,0.0516129,
370,0.091503,,0.0516129,
371,0.098039,,0.0516129,
372,0.1024,,0.0516129,
373,0.10893,,0.0516129,
374,0.11547,,0.04516129,
375,0.11983,,0.04516129,
376,0.12636,,0.04516129,
377,0.1329,,0.04516129,
378,0.14161,,0.04516129,
379,0.14815,,0.04516129,
380,0.15468,,0.04516129,
381,0.1634,,0.04516129,
382,0.17211,,0.04516129,
383,0.18301,,0.04516129,
384,0.1939,,0.04516129,
385,0.20261,,0.03870968,
386,0.21351,,0.03870968,
387,0.22004,,0.03870968,
388,0.23312,,0.03870968,
389,0.24837,,0.03870968,
390,0.25708,,0.03870968,
391,0.26797,,0.03870968,
392,0.28105,,0.03870968,
393,0.29412,,0.03870968,
394,0.30937,,0.03870968,
395,0.32026,,0.03870968,
396,0.33551,,0.03870968,
397,0.35076,,0.03870968,
